uid:a58cce7af4ad6855fea778b3;name:靠山居艺墅7幢;address:北京市房山区靠山居艺墅7幢;lat:39.808992;lng:116.219868
uid:144fd1adbb29522379dbd213;name:艺墅南区4号楼;address:北京市房山区靠山居艺墅南区4幢;lat:39.809519;lng:116.219553
uid:2a1b1b9a21f43618f603b8d6;name:艺墅南区5幢;address:北京市房山区靠山居艺墅5幢;lat:39.809251;lng:116.219657
uid:22ff2e5facfdfaa94bfd3fa3;name:艺墅南区3号楼;address:北京市房山区靠山居艺墅3幢;lat:39.80973;lng:116.219418
uid:e221f88a80cbc65cf72310ad;name:金域缇香;address:北京市房山线稻田站向北300米;lat:39.80608;lng:116.22419
uid:134387e3e2ad5489d6b74e11;name:长景新园;address:稻田一路1号院;lat:39.803526;lng:116.227032
uid:8c08a4ec1d6df374a7c7569f;name:靠山居花园3号楼;address:北京市房山区长阳靠山居·艺墅艺墅南区28幢;lat:39.80973;lng:116.22281
uid:83010220d2410384d618b74e;name:艺墅南区17幢;address:北京市房山区靠山居艺墅17幢;lat:39.809462;lng:116.221521
uid:754b3803d072ebbf97ec841a;name:艺墅南区27幢;address:北京市房山区靠山居艺墅27幢;lat:39.809612;lng:116.22197
uid:4f1f23c4a81b3fe8b320a8fe;name:艺墅南区10幢;address:北京市房山区靠山居艺墅10幢;lat:39.809802;lng:116.220195
uid:061540fdc941f87c4151c0aa;name:艺墅南区29幢;address:北京市房山区靠山居艺墅南区29幢;lat:39.809993;lng:116.222255
uid:608d9585c5f10d7f4bcc4a8a;name:靠山居艺墅8幢;address:北京市房山区靠山居艺墅8幢;lat:39.809201;lng:116.220676
uid:ed53291b3bc9d0d0e5e96596;name:高佃村168号;address:长韩路附近;lat:39.8038;lng:116.223516
uid:16e2d2868d1516a593114c41;name:艺墅南区9幢;address:北京市房山区靠山居艺墅9幢;lat:39.809502;lng:116.220434
uid:07c900455801f6c64e776ead;name:欣葆家园二区;address:北京市丰台区芦花路;lat:39.808711;lng:116.294718
uid:397a8fbfbb4021df283a9fe0;name:宏大南园;address:北京市大兴区宏盛路201号;lat:39.801035;lng:116.338716
uid:2780bac060a0a69bf32d8327;name:宏大南园1号楼;address:北京市大兴区宏大南园1号楼;lat:39.801327;lng:116.339036
uid:c4c95a7c1eecf04d36b06ca7;name:宏大南园4号楼;address:北京市大兴区宏大南园4号楼;lat:39.800411;lng:116.338181
uid:253d886b3ff6bd9132870a19;name:宏大南园2号楼;address:北京市大兴区宏大南园2号楼;lat:39.80041;lng:116.338641
uid:f9bc3e6ece03e6ce08f5eb97;name:宏大南园3号楼;address:北京市大兴区宏大南园3号楼;lat:39.800951;lng:116.338537
uid:8b0a6a734ffab1bf16c905cc;name:宏盛园22号楼;address:北京市大兴区;lat:39.800475;lng:116.339985
uid:a7c56ee03ef050b0a3acc4d2;name:宏大北园;address:欣旺北大街16号;lat:39.805768;lng:116.347669
uid:4bb049d915d39447990050f5;name:宏盛家园;address:北京市大兴区欣旺北大街宏盛家园兴都苑南100米;lat:39.800699;lng:116.34327
uid:49d959381b10a043c61e51f5;name:宏福园;address:北京市大兴区宏都东路;lat:39.802912;lng:116.347104
uid:34e4850859196b9fd8d891e4;name:宏大中园;address:西红门镇宏盛路欣海北街;lat:39.802526;lng:116.341423
uid:d0eadb56a932d8ef4557264e;name:兴都苑小区;address:北京市大兴区宏都路;lat:39.803194;lng:116.344285
uid:844a750e958ef0b9626858f5;name:九龙家园;address:北京市大兴区宏大北园南门;lat:39.805472;lng:116.348824
uid:8cba4bb004329d84ad0457f5;name:宏盛西区;address:北京京开高速西红门出口镇政府西侧600米;lat:39.80113;lng:116.340071
uid:d1469ee74c934b62843304f5;name:兴都苑南区;address:北京市大兴区欣旺北大街;lat:39.803517;lng:116.345414
uid:06d2dffd11a940f688f15df5;name:九龙山庄三区;address:欣荣北大街和欣旺北大街交叉口往东200米京开边上;lat:39.806901;lng:116.348645
uid:9ee392b85f391b41bbbd63f5;name:九龙山庄一区;address:北京市大兴区欣旺北大街5号;lat:39.8042;lng:116.345515
uid:a30743c4149d73e7c26c14d0;name:理想城礼域府;address:北京西红门北一街一号院;lat:39.800678;lng:116.351103
uid:53349ee3c853c26e220262f5;name:九龙山庄;address:欣旺里1号大院;lat:39.807518;lng:116.351433
uid:34059f97e02e925471455bf5;name:九龙家园北区;address:宏都路附近;lat:39.805472;lng:116.350139
uid:55b2a3a700cea518afee7aad;name:鸿坤·理想城四期;address:北京市大兴区欣荣北大街43号院;lat:39.801261;lng:116.350502
uid:7c5e480b863b91b4adb22af5;name:耀艳大厦;address:九龙山庄1号;lat:39.809318;lng:116.351857
uid:236f108dacc1d2c4cb213dd7;name:鸿坤理想城派郡;address:北京市大兴区欣荣北大街18号;lat:39.80148;lng:116.352535
uid:f287c7f81aa00945cc06a43d;name:九龙家园南区;address:北京市大兴区宏都路;lat:39.804073;lng:116.350982
uid:f97f824287457e7c95f08c28;name:九龙山庄二区;address:欣旺里1号大院;lat:39.80821;lng:116.351508
uid:c1653405cd7c7579ab175af5;name:九龙家园东区;address:西红门京开高速九龙口;lat:39.802686;lng:116.35257
uid:b52f43735ce039c71b94c641;name:九龙山庄东区20号楼;address:北京市大兴区九龙山庄东区20号楼;lat:39.806313;lng:116.352272
uid:f510c09485ec486911882424;name:同心园19号楼;address:北京市大兴区槐房西路同兴园北区同心园19号楼;lat:39.805731;lng:116.36881
uid:b1958d936066a07d9f09f77c;name:同心园10号楼;address:西红门路同心园10号楼;lat:39.803655;lng:116.369438
uid:7ceb9b8bed638829bda24050;name:同兴园14号楼;address:西红门路同心园14号楼;lat:39.804484;lng:116.369215
uid:7b466142b1ddcabdf02d83c0;name:同兴园小区18号楼;address:西红门路同心园18号楼;lat:39.805233;lng:116.368945
uid:2551475cbcab753f17c8f608;name:同兴园16号楼;address:同兴园住宅小区附近;lat:39.80489;lng:116.369109
uid:d8e64fc7676f9dd2e812e429;name:同兴园8号楼;address:北京市大兴区槐房西路;lat:39.803375;lng:116.369945
uid:2503e1563a0bb86222f017d7;name:英华家园;address:西红门镇同华北路6号;lat:39.801255;lng:116.365248
uid:ee64208c379c91d231f71da2;name:同心园12号楼;address:西红门路同心园12号楼;lat:39.804053;lng:116.369233
uid:e06f481290c5d3a23686f4a1;name:红华大院;address:北京市大兴区同华北大街24号;lat:39.806632;lng:116.362158
uid:cbd81d5fa44e69d8c72ba146;name:红华大院8号楼;address:北京市大兴区西红门宏都东路创新学校附近;lat:39.808084;lng:116.360292
uid:f777814877c0d763ae045766;name:同兴园小区;address:北京市大兴区南西路和槐房西路交叉口;lat:39.803697;lng:116.371257
uid:e0f3438b3ab7947ad3ff2396;name:阳光星苑;address:西红门路18号;lat:39.800867;lng:116.376607
uid:827a963f106657a015c90554;name:南庭新苑南区;address:北京市丰台区槐房西路318号院;lat:39.80896;lng:116.3755
uid:cac5fc7612cf0ff32cb96df5;name:绿林苑;address:北京市大兴区西红门路9号;lat:39.801515;lng:116.373099
uid:7d31ca7ee1bd67c35cd4feed;name:同心园23号楼;address:西红门路同心园23号楼;lat:39.805017;lng:116.37302
uid:86dbc946c25feb3359bbbc88;name:同兴园7号楼;address:西红门路;lat:39.803044;lng:116.370077
uid:b40babef50300f752ce67b68;name:同心园17号楼;address:北京市大兴区槐房西路;lat:39.804981;lng:116.370136
uid:5c0ea6b7f928d8d0e856faa6;name:同兴园1号楼;address:北京市大兴区同兴园1号楼;lat:39.800679;lng:116.371079
uid:89b87c445855a2c421022038;name:同心园4号楼;address:北京市大兴区同兴园4号楼;lat:39.80178;lng:116.370715
